date,temperature_2m_mean
2025-07-01,85.2
2025-07-02,86.2
2025-07-03,82.5
2025-07-04,82.3
2025-07-05,77.7
2025-07-06,81.9
2025-07-07,84.9
2025-07-08,81.6
2025-07-09,79.8
2025-07-10,80.4
2025-07-11,81.8
2025-07-12,82.8
2025-07-13,83.6
2025-07-14,84.5
2025-07-15,84
2025-07-16,83.3
2025-07-17,84.1
2025-07-18,83.7
2025-07-19,83.2
2025-07-20,82.8
2025-07-21,83.3
2025-07-22,83.8
2025-07-23,84.8
2025-07-24,85.5
2025-07-25,86.1
2025-07-26,84.3
2025-07-27,83.9
2025-07-28,83.8
2025-07-29,85.1
2025-07-30,85.8
2025-07-31,87.1
2025-08-01,89.8
2025-08-02,90
2025-08-03,89.8
2025-08-04,86.9
2025-08-05,84.6
2025-08-06,83.8
2025-08-07,84.6
2025-08-08,83.2
2025-08-09,83
2025-08-10,83.4
2025-08-11,83.8
2025-08-12,84.4
2025-08-13,86.6
2025-08-14,87.3
2025-08-15,80.2
2025-08-16,82
2025-08-17,82.8
2025-08-18,84.6
2025-08-19,84.4
2025-08-20,81.9
2025-08-21,77.8
2025-08-22,77.6
2025-08-23,79.2
2025-08-24,80.1
2025-08-25,79.9
2025-08-26,78.5
2025-08-27,76.9
2025-08-28,75.8
2025-08-29,75.1
2025-08-30,77.5
2025-08-31,78.8
2025-09-01,80.8
2025-09-02,80.5
2025-09-03,83.9
2025-09-04,83
2025-09-05,80.9
2025-09-06,79.9
2025-09-07,78.2
2025-09-08,76.1
2025-09-09,77.1
2025-09-10,78.7
2025-09-11,76.7
2025-09-12,78.9
2025-09-13,76.5
2025-09-14,73.7
2025-09-15,74.2
2025-09-16,73.4
2025-09-17,72.6
2025-09-18,71.9
2025-09-19,74.9
2025-09-20,73.6
2025-09-21,73.3
2025-09-22,73.9
2025-09-23,72.3
2025-09-24,71.7
2025-09-25,74.1
2025-09-26,74.3
2025-09-27,74.1
2025-09-28,71.8
2025-09-29,72.8
